KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
dialogue_WOGuaqm,"Phyyr or Brok. Shen or Sahim. No matter which fashion brand has caught your eye in the last year — it's time for the latest trend from <color=#ffffff>UlölU</color>! Or should you steer clear of it? The company, which seemingly emerged out of nowhere, is currently grappling with both hype and fierce criticism. Our investigative editors took a close look at the newest collection and the people behind it—from the origin of the materials to the delivery robots. Is it safe to dive in? We'll tell you!","Phyyr oder Brok. Shen oder Sahim. Egal welche Modemarke dir im letzten Jahr ins Auge gefallen ist — es ist Zeit für den neuesten Trend von <color=#ffffff>UlölU</color>! Oder solltest du besser Abstand davon nehmen? Das Unternehmen, das scheinbar aus dem Nichts aufgetaucht ist, hat derzeit mit sowohl Hype als auch scharfer Kritik zu kämpfen. Unsere investigativen Redakteure haben sich die neueste Kollektion und die Menschen dahinter genau angesehen – von der Herkunft der Materialien bis zu den Lieferrobotern. Ist es sicher, einzutauchen? Wir sagen es dir!","Phyyr ou Brok. Shen ou Sahim. Peu importe quelle marque de mode a attiré votre attention l'année dernière — il est temps pour la dernière tendance de <color=#ffffff>UlölU</color> ! Ou devriez-vous l'éviter ? L'entreprise, qui semble avoir émergé de nulle part, est actuellement aux prises avec à la fois le battage médiatique et de vives critiques. Nos rédacteurs d'investigation ont examiné de près la nouvelle collection et les personnes qui la composent — de l'origine des matériaux aux robots de livraison. Est-il sûr de plonger ? Nous vous le dirons !","Phyyr o Brok. Shen o Sahim. Non importa quale marchio di moda ti abbia colpito nell'ultimo anno — è tempo dell'ultima tendenza da <color=#ffffff>UlölU</color>! O dovresti evitarlo? L'azienda, che sembra emersa dal nulla, sta attualmente affrontando sia l'hype che aspre critiche. I nostri redattori investigativi hanno esaminato da vicino la nuova collezione e le persone dietro di essa — dall'origine dei materiali ai robot per le consegne. È sicuro tuffarsi? Te lo diremo!","Phyyr o Brok. Shen o Sahim. No importa qué marca de moda haya llamado tu atención en el último año — ¡es hora de la última tendencia de <color=#ffffff>UlölU</color>! ¿O deberías mantenerte alejado de ella? La empresa, que aparentemente surgió de la nada, está lidiando actualmente tanto con el hype como con críticas feroces. Nuestros editores de investigación echaron un vistazo de cerca a la nueva colección y a las personas detrás de ella, desde el origen de los materiales hasta los robots de entrega. ¿Es seguro sumergirse? ¡Te lo contaremos!",,"Phyyr ou Brok. Shen ou Sahim. Não importa qual marca de moda chamou sua atenção no último ano — é hora da última tendência de <color=#ffffff>UlölU</color>! Ou você deve ficar longe disso? A empresa, que aparentemente surgiu do nada, está atualmente lidando tanto com o hype quanto com críticas ferozes. Nossos editores investigativos deram uma olhada de perto na nova coleção e nas pessoas por trás dela — desde a origem dos materiais até os robôs de entrega. É seguro mergulhar? Nós vamos te contar!",,"Фиыр или Брок. Шен или Сахим. Неважно, какой модный бренд привлек ваше внимание в прошлом году — пришло время для последнего тренда от <color=#ffffff>UlölU</color>! Или стоит держаться подальше от него? Компания, которая, казалось, появилась из ниоткуда, в настоящее время сталкивается как с хайпом, так и с жесткой критикой. Наши investigative editors внимательно изучили новую коллекцию и людей, стоящих за ней — от происхождения материалов до роботов-доставщиков. Безопасно ли погружаться в это? Мы расскажем вам!",,菲尔或布罗克。申或萨希姆。无论过去一年哪个时尚品牌吸引了你的目光——现在是<color=#ffffff>乌洛乌</color>最新潮流的时刻!还是你应该避开它?这家似乎凭空出现的公司目前正面临着热潮和激烈的批评。我们的调查编辑仔细研究了最新系列及其背后的人——从材料的来源到送货机器人。跳入其中是否安全?我们会告诉你!,,,,,,
dialogue_qi8qKUK,Politics,Politik,Politique,Politica,Política,,Política,,Политика,,政治,,,,,,
dialogue_qKW88Wa,Economics,Wirtschaft,Économie,Economia,Economía,,Economia,,Экономика,,经济,,,,,,
dialogue_AKS0KWe,Sports,Sport,Sports,Sport,Deportes,,Esportes,,Спорт,,体育,,,,,,
dialogue_8GXciK8,Society,Gesellschaft,Société,Società,Sociedad,,Sociedade,,Общество,,社会,,,,,,
dialogue_0GkGsWi,Back to Category Overview,Zurück zur Kategorienübersicht,Retour à l'aperçu de la catégorie,Torna alla panoramica delle categorie,Volver a la Vista General de Categorías,,Voltar para a Visão Geral da Categoria,,Назад к Обзору Категорий,,返回类别概览,,,,,,
dialogue_m88EumU,<color=#eeff00>Network News</color>,<color=#eeff00>Netzwerknachrichten</color>,<color=#eeff00>Nouvelles du réseau</color>,<color=#eeff00>Notizie di rete</color>,<color=#eeff00>Noticias de la Red</color>,,<color=#eeff00>Notícias da Rede</color>,,<color=#eeff00>Сетевые Новости</color>,,<color=#eeff00>网络新闻</color>,,,,,,
dialogue_m4gm8cW,<color=#7dff7d>Set: </color>Ningues Mission 5 Accepted {NinguesPolarisMission},<color=#7dff7d>Set: </color>Ningues Mission 5 Akzeptiert {NinguesPolarisMission},<color=#7dff7d>Ensemble : </color>Mission Ningues 5 Acceptée {NinguesPolarisMission},<color=#7dff7d>Impostazione: </color>Missione 5 Ningues Accettata {NinguesPolarisMission},<color=#7dff7d>Conjunto: </color>Misión 5 de Ningues Aceptada {NinguesPolarisMission},,<color=#7dff7d>Conjunto: </color>Missão Ningues 5 Aceita {NinguesPolarisMission},,<color=#7dff7d>Установлено: </color>Миссия Нингус 5 Принята {NinguesPolarisMission},,<color=#7dff7d>设置:</color>Ningues任务5已接受 {NinguesPolarisMission},,,,,,
dialogue_i4uI2ma,<color=#ffae00>Close</color>,<color=#ffae00>Schließen</color>,<color=#ffae00>Fermer</color>,<color=#ffae00>Chiudi</color>,<color=#ffae00>Cerrar</color>,,<color=#ffae00>Fechar</color>,,<color=#ffae00>Закрыть</color>,,<color=#ffae00>关闭</color>,,,,,,
dialogue_Cm4uaSa,@d0@q0The following overview contains categories for which we would like to get your feedback to improve your  gameplay experience.\n\nPlease choose an option below to get started.\n\n<i>Note: Please do not use the feedback forms below to report bugs. More info can be found here: '<color=#ffae00>How to report a bug</color>'</i>,"@d0@q0Die folgende Übersicht enthält Kategorien, zu denen wir gerne dein Feedback erhalten würden, um dein Spielerlebnis zu verbessern.\n\nBitte wähle eine Option unten, um zu beginnen.\n\n<i>Hinweis: Bitte benutze die untenstehenden Feedback-Formulare nicht, um Bugs zu melden. Weitere Informationen findest du hier: ‘<color=#ffae00>Wie man einen Bug meldet</color>’</i>",@d0@q0L'aperçu suivant contient des catégories pour lesquelles nous aimerions avoir vos retours afin d'améliorer votre expérience de jeu.\n\nVeuillez choisir une option ci-dessous pour commencer.\n\n<i>Note : Merci de ne pas utiliser les formulaires de retour ci-dessous pour signaler des bugs. Plus d'infos peuvent être trouvées ici : ‘<color=#ffae00>Comment signaler un bug</color>’</i>,"@d0@q0La seguente panoramica contiene categorie per le quali ci piacerebbe ricevere il tuo feedback per migliorare la tua esperienza di gioco.\n\nPer favore, scegli un'opzione qui sotto per iniziare.\n\n<i>Nota: Ti preghiamo di non utilizzare i moduli di feedback qui sotto per segnalare bug. Maggiori informazioni possono essere trovate qui: ‘<color=#ffae00>Come segnalare un bug</color>’</i>","@d0@q0La siguiente visión general contiene categorías para las cuales nos gustaría recibir tus comentarios para mejorar tu experiencia de juego.\n\nPor favor, elige una opción a continuación para comenzar.\n\n<i>Nota: Por favor, no uses los formularios de comentarios a continuación para reportar errores. Más información se puede encontrar aquí: ‘<color=#ffae00>Cómo reportar un error</color>’</i>",,"@d0@q0A seguinte visão geral contém categorias para as quais gostaríamos de receber seu feedback para melhorar sua experiência de jogo.\n\nPor favor, escolha uma opção abaixo para começar.\n\n<i>Nota: Por favor, não use os formulários de feedback abaixo para relatar bugs. Mais informações podem ser encontradas aqui: ‘<color=#ffae00>Como relatar um bug</color>’</i>",,"@d0@q0Следующий обзор содержит категории, по которым мы хотели бы получить ваш отзыв для улучшения вашего игрового опыта.\n\nПожалуйста, выберите вариант ниже, чтобы начать.\n\n<i>Примечание: Пожалуйста, не используйте формы обратной связи ниже для сообщения об ошибках. Дополнительную информацию можно найти здесь: ‘<color=#ffae00>Как сообщить об ошибке</color>’</i>",,@d0@q0以下是我们希望获得您反馈以改善游戏体验的分类概述。\n\n请选择以下选项开始。\n\n<i>提示：请不要使用以下反馈表单举报漏洞。更多信息请参见：'<color=#ffae00>如何举报漏洞</color>'</i>,,,,,,
dialogue_WbUWmOO,Close,Schließen,Fermer,Chiudi,Cerrar,,Fechar,,Закрыть,,关闭,,,,,,
dialogue_q8iKqiS,<color=#00ffff>Gamestart</color> Feedback,<color=#00ffff>Spielstart</color> Feedback,<color=#00ffff>Retour sur le démarrage du jeu</color>,<color=#00ffff>Inizio Gioco</color> Feedback,<color=#00ffff>Comentarios de Inicio de Juego</color>,,<color=#00ffff>Feedback de Início de Jogo</color>,,<color=#00ffff>Обратная связь по началу игры</color>,,<color=#00ffff>游戏开始</color> 反馈,,,,,,
dialogue_eiigiO8,<color=#fb00ff>Send us your feedback!</color>,<color=#fb00ff>Schick uns dein Feedback!</color>,<color=#fb00ff>Envoyez-nous vos retours !</color>,<color=#fb00ff>Inviaci il tuo feedback!</color>,<color=#fb00ff>¡Envíanos tus comentarios!</color>,,<color=#fb00ff>Envie-nos seu feedback!</color>,,<color=#fb00ff>Отправьте нам свои отзывы!</color>,,<color=#fb00ff>发送您的反馈给我们!</color>,,,,,,
dialogue_4s0mKOS,"Welcome, pilot! You are at the Hover Raceway of the HeKaTon Cup. \n\nTo start your qualifying, please speak to the Game Master. You will find him on the floor above us on the viewing platform in front of the Pit Lane access portal. \n\n<color=#ffffff>Just take the elevator here next to me.</color>","Willkommen, Pilot! Du bist auf der Hover-Rennstrecke des HeKaTon Cups. \n\nUm mit deiner Qualifikation zu beginnen, sprich bitte mit dem Spielleiter. Du findest ihn auf der Etage über uns auf der Aussichtsplattform vor dem Zugang zum Boxenbereich. \n\n<color=#ffffff>Nimm einfach den Aufzug hier neben mir.</color>","Bienvenue, pilote ! Vous êtes à la piste de Hover de la Coupe HeKaTon. \n\nPour commencer votre qualification, veuillez parler au Maître de Jeu. Vous le trouverez à l'étage au-dessus de nous sur la plateforme d'observation devant le portail d'accès à la voie des stands. \n\n<color=#ffffff>Il suffit de prendre l'ascenseur ici à côté de moi.</color>","Benvenuto, pilota! Sei alla Pista Hover della HeKaTon Cup. \n\nPer iniziare le tue qualifiche, parla con il Game Master. Lo troverai al piano sopra di noi sulla piattaforma di osservazione di fronte al portale di accesso al Pit Lane. \n\n<color=#ffffff>Prendi semplicemente l'ascensore qui accanto a me.</color>","¡Bienvenido, piloto! Estás en la Pista Flotante de la Copa HeKaTon. \n\nPara comenzar tu clasificación, por favor habla con el Maestro del Juego. Lo encontrarás en el piso de arriba en la plataforma de observación frente al portal de acceso a la Calle de Boxes. \n\n<color=#ffffff>Solo toma el ascensor aquí al lado de mí.</color>",,"Bem-vindo, piloto! Você está na Pista Flutuante da Copa HeKaTon. \n\nPara começar sua qualificação, por favor, fale com o Mestre do Jogo. Você o encontrará no andar acima de nós, na plataforma de observação em frente ao portal de acesso da Pit Lane. \n\n<color=#ffffff>Basta pegar o elevador aqui ao meu lado.</color>",,"Добро пожаловать, пилот! Вы на Гонках Ховеров Кубка ХеКаТон. \n\nЧтобы начать квалификацию, пожалуйста, поговорите с Мастером Игры. Вы найдете его на этаже выше нас на смотровой площадке перед порталом доступа к пит-лейну. \n\n<color=#ffffff>Просто воспользуйтесь лифтом здесь, рядом со мной.</color>",,"欢迎,飞行员!您现在在 HeKaTon 杯的悬浮赛道上。\n\n要开始您的资格赛,请与游戏管理员交谈。您可以在我们上面的楼层,在 Pit Lane 入口传送门前的观景平台上找到他。\n\n<color=#ffffff>只需乘坐我旁边的电梯。</color>",,,,,,
dialogue_GWCq4We,Thanks,Danke,Merci,Grazie,Gracias,,Obrigado,,Спасибо,,谢谢,,,,,,
dialogue_mGe0KKO,Receptionist,Rezeptionist,Réceptionniste,Receptionist,Recepcionista,,Recepcionista,,Ресепшенист,,接待员,,,,,,
dialogue_040COa1,You want to go down to the pit lane? \n\n<color=#ffffff>Just take the escalator next to the portal.</color>\n\nGood luck with the race!,Du möchtest zur Boxengasse hinunter? \n\n<color=#ffffff>Nimm einfach die Rolltreppe neben dem Portal.</color>\n\nViel Glück beim Rennen!,Vous voulez descendre vers la voie des stands ? \n\n<color=#ffffff>Il suffit de prendre l'escalator à côté du portail.</color>\n\nBonne chance pour la course !,Vuoi scendere al pit lane? \n\n<color=#ffffff>Prendi semplicemente la scala mobile accanto al portale.</color>\n\nBuona fortuna con la gara!,¿Quieres bajar a la calle de boxes? \n\n<color=#ffffff>Solo toma la escalera mecánica junto al portal.</color>\n\n¡Buena suerte con la carrera!,,Você quer descer para a pit lane? \n\n<color=#ffffff>Basta pegar a escada rolante ao lado do portal.</color>\n\nBoa sorte na corrida!,,Вы хотите спуститься в пит-лейн? \n\n<color=#ffffff>Просто воспользуйтесь эскалатором рядом с порталом.</color>\n\nУдачи на гонке!,,您想下到维修区吗?\n\n<color=#ffffff>只需乘坐传送门旁边的自动扶梯。</color>\n\n祝您比赛好运!,,,,,,
dialogue_QWeW8CO,Thanks!,Danke!,Merci !,Grazie!,¡Gracias!,,Obrigado!,,Спасибо!,,谢谢!,,,,,,
dialogue_K8NuGuG,"@d0@q0In the following form, we ask you for feedback specifically on the <color=#ffffff>HeKaTon Hover Racing Cup</color>\n<color=#ffffff>\nThe event can be played as follows:</color> Fly to the moon of Arkenia Prime in the Arkenia solar system and follow the instructions.\n\nThank you in advance for taking the time to complete this survey and help us improve the racing event!","@d0@q0In folgendem Formular bitten wir dich um Feedback speziell zum <color=#ffffff>HeKaTon Hover Racing Cup</color>\n<color=#ffffff>\nDas Event kann wie folgt gespielt werden:</color> Flieg zum Mond von Arkenia Prime im Arkenia-Sonnensystem und folge den Anweisungen.\n\nVielen Dank im Voraus, dass du dir die Zeit nimmst, diese Umfrage auszufüllen und uns zu helfen, das Renn-Event zu verbessern!","@d0@q0Dans le formulaire suivant, nous vous demandons des retours spécifiquement sur la <color=#ffffff>HeKaTon Hover Racing Cup</color>\n<color=#ffffff>\nL'événement peut être joué comme suit :</color> Volez vers la lune d'Arkenia Prime dans le système solaire d'Arkenia et suivez les instructions.\n\nMerci d'avance de prendre le temps de remplir ce sondage et de nous aider à améliorer l'événement de course !","@d0@q0Nel seguente modulo, ti chiediamo un feedback specifico sulla <color=#ffffff>HeKaTon Hover Racing Cup</color>\n<color=#ffffff>\nL'evento può essere giocato come segue:</color> Vola verso la luna di Arkenia Prime nel sistema solare di Arkenia e segui le istruzioni.\n\nGrazie in anticipo per aver dedicato del tempo a completare questo sondaggio e aiutarci a migliorare l'evento di corsa!","@d0@q0En el siguiente formulario, te pedimos comentarios específicamente sobre la <color=#ffffff>HeKaTon Hover Racing Cup</color>\n<color=#ffffff>\nEl evento se puede jugar de la siguiente manera:</color> Vuela a la luna de Arkenia Prime en el sistema solar de Arkenia y sigue las instrucciones.\n\n¡Gracias de antemano por tomarte el tiempo para completar esta encuesta y ayudarnos a mejorar el evento de carreras!",,"@d0@q0No seguinte formulário, pedimos seu feedback especificamente sobre a <color=#ffffff>HeKaTon Hover Racing Cup</color>\n<color=#ffffff>\nO evento pode ser jogado da seguinte forma:</color> Voe para a lua de Arkenia Prime no sistema solar de Arkenia e siga as instruções.\n\nObrigado antecipadamente por dedicar seu tempo para completar esta pesquisa e nos ajudar a melhorar o evento de corrida!",,"@d0@q0В следующей форме мы просим вас оставить отзыв конкретно о <color=#ffffff>Кубке Гоночных Ховеров HeKaTon</color>\n<color=#ffffff>\nСобытие можно пройти следующим образом:</color> Полетите на луну Аркении Прайм в солнечной системе Аркении и следуйте инструкциям.\n\nЗаранее спасибо за то, что нашли время заполнить этот опрос и помочь нам улучшить гоночное событие!",,"@d0@q0在以下表单中,我们请求您对<color=#ffffff>HeKaTon悬浮赛车杯</color>提供反馈。\n<color=#ffffff>\n活动可以按以下方式进行:</color>飞往Arkenian太阳系的Arkenian首月,并按照指示操作。\n\n感谢您抽出时间完成此调查,帮助我们改进赛车活动!",,,,,,
dialogue_6a8eCuG,<u>Event Feedback:</u> <color=#ffffff>HeKaTon</color> Hover Racing Cup,<u>Event-Feedback:</u> <color=#ffffff>HeKaTon</color> Hover Racing Cup,<u>Retour sur l'événement :</u> <color=#ffffff>HeKaTon</color> Hover Racing Cup,<u>Feedback sull'Evento:</u> <color=#ffffff>HeKaTon</color> Hover Racing Cup,<u>Comentarios del Evento:</u> <color=#ffffff>HeKaTon</color> Hover Racing Cup,,<u>Feedback do Evento:</u> <color=#ffffff>HeKaTon</color> Hover Racing Cup,,<u>Отзыв о событии:</u> <color=#ffffff>Кубок HeKaTon</color> Гоночных Ховеров,,<u>活动反馈:</u> <color=#ffffff>HeKaTon</color>悬浮赛车杯,,,,,,
dialogue_C44K4ea,Back to Feedback Overview,Zurück zur Feedback-Übersicht,Retour à l'aperçu des retours,Torna alla Panoramica del Feedback,Volver a la Vista General de Comentarios,,Voltar para a Visão Geral de Feedback,,Назад к обзору отзывов,,返回反馈概览,,,,,,
dialogue_S44WG0a,<color=#ffae00>Close</color>,<color=#ffae00>Schließen</color>,<color=#ffae00>Fermer</color>,<color=#ffae00>Chiudi</color>,<color=#ffae00>Cerrar</color>,,<color=#ffae00>Fechar</color>,,<color=#ffae00>Закрыть</color>,,<color=#ffae00>关闭</color>,,,,,,
dialogue_MGGo0Y0,<color=#ffffff>General Game Feedback</color>,<u>Feedback-Umfrage:</u> <color=#00ffff>Spiel-Update 1.12</color>,<u>Sondage de retour :</u> <color=#00ffff>Mise à jour du jeu 1.12</color>,<u>Sondaggio di Feedback:</u> <color=#00ffff>Aggiornamento Gioco 1.12</color>,<u>Encuesta de Comentarios:</u> <color=#00ffff>Actualización del Juego 1.12</color>,,<u>Pesquisa de Feedback:</u> <color=#00ffff>Atualização do Jogo 1.12</color>,,<u>Опрос отзывов:</u> <color=#00ffff>Обновление игры 1.12</color>,,<color=#ffffff>游戏总体反馈</color>,,,,,,
dialogue_WiqOEgS,"@d0@q0In this form, we ask for your general feedback on the game and its content.\n\nThank you in advance for taking the time to complete this survey and help us improving your gaming experience with Empyrion Galactic Survival!\n\n<i>Note: To close the form, click on the <color=#ffffff>grey X </color>in the top right of the form (NOT in the dialogue window!)</i>","@d0@q0In diesem Formular bitten wir dich um Feedback speziell zum <color=#ffffff>Update 1.12</color> und seinen Inhalten. \n\nVielen Dank im Voraus, dass du dir die Zeit nimmst, diese Umfrage auszufüllen und uns zu helfen, dein Spielerlebnis mit Empyrion Galactic Survival zu verbessern!\n\n<i>Hinweis: Um das Formular zu schließen, klicke auf das <color=#ffffff>graue X </color>in der oberen rechten Ecke des Formulars (NICHT im Dialogfenster!)</i>","@d0@q0Dans ce formulaire, nous vous demandons des retours spécifiquement sur la <color=#ffffff>mise à jour 1.12</color> et son contenu. \n\nMerci d'avance de prendre le temps de remplir ce sondage et de nous aider à améliorer votre expérience de jeu avec Empyrion Galactic Survival !\n\n<i>Note : Pour fermer le formulaire, cliquez sur le <color=#ffffff>X gris </color>en haut à droite du formulaire (PAS dans la fenêtre de dialogue !)</i>","@d0@q0In questo modulo, ti chiediamo un feedback specifico sull'<color=#ffffff>aggiornamento 1.12</color> e i suoi contenuti. \n\nGrazie in anticipo per aver dedicato del tempo a completare questo sondaggio e aiutarci a migliorare la tua esperienza di gioco con Empyrion Galactic Survival!\n\n<i>Nota: Per chiudere il modulo, clicca sulla <color=#ffffff>X grigia </color>in alto a destra del modulo (NON nella finestra di dialogo!)</i>","@d0@q0En este formulario, te pedimos comentarios específicamente sobre la <color=#ffffff>actualización 1.12</color> y su contenido. \n\n¡Gracias de antemano por tomarte el tiempo para completar esta encuesta y ayudarnos a mejorar tu experiencia de juego con Empyrion Galactic Survival!\n\n<i>Nota: Para cerrar el formulario, haz clic en la <color=#ffffff>X gris </color>en la esquina superior derecha del formulario (¡NO en la ventana de diálogo!)</i>",,"@d0@q0Neste formulário, pedimos seu feedback especificamente sobre a <color=#ffffff>atualização 1.12</color> e seu conteúdo. \n\nObrigado antecipadamente por dedicar seu tempo para completar esta pesquisa e nos ajudar a melhorar sua experiência de jogo com Empyrion Galactic Survival!\n\n<i>Nota: Para fechar o formulário, clique no <color=#ffffff>X cinza </color>no canto superior direito do formulário (NÃO na janela de diálogo!)</i>",,"@d0@q0В этой форме мы просим вас оставить отзыв конкретно о <color=#ffffff>обновлении 1.12</color> и его содержимом. \n\nЗаранее спасибо за то, что нашли время заполнить этот опрос и помочь нам улучшить ваш игровой опыт в Empyrion Galactic Survival!\n\n<i>Примечание: Чтобы закрыть форму, нажмите на <color=#ffffff>серую X </color>в правом верхнем углу формы (НЕ в окне диалога!)</i>",,@d0@q0在此表单中，我们希望收集您对游戏及其内容的总体反馈。\n\n感谢您提前抽出时间完成这份调查，帮助我们改进您在《帝国霸业-银河生存》中的游戏体验！\n\n<i>提示：要关闭表单，请点击表单右上角的<color=#ffffff>灰色 X </color>（而不是对话窗口中的关闭按钮！）</i>,,,,,,
dialogue_4WuS44m,<color=#ffae00>How to report a bug?</color>,<color=#ffae00>Wie meldet man einen Fehler?</color>,<color=#ffae00>Comment signaler un bug ?</color>,<color=#ffae00>Come segnalare un bug?</color>,<color=#ffae00>¿Cómo reportar un error?</color>,,<color=#ffae00>Como reportar um bug?</color>,,<color=#ffae00>Как сообщить об ошибке?</color>,,<color=#ffae00>如何报告错误?</color>,,,,,,
dialogue_8GaeimG,"@d0@q0To report a bug or error, please use one of the following options:\n1. A bug in a mission: <color=#00ffff>mission@empyriongame.com</color>\n2. An error in the translation: <color=#00ffff>loca@empyriongame.com</color>\n3. General game bugs and errors: <color=#00ffff>support@empyriongame.com</color> OR use the bug forum at <color=#00ffff>www.empyriononline.com</color>\n<color=#00ffff></color>\nThank you very much for your help!","@d0@q0Um einen Fehler oder Bug zu melden, benutze bitte eine der folgenden Optionen:\n1. Ein Bug in einer Mission: <color=#00ffff>mission@empyriongame.com</color>\n2. Ein Fehler in der Übersetzung: <color=#00ffff>loca@empyriongame.com</color>\n3. Allgemeine Spiel-Bugs und Fehler: <color=#00ffff>support@empyriongame.com</color> ODER benutze das Bug-Forum unter <color=#00ffff>www.empyriononline.com</color>\n<color=#00ffff></color>\nVielen Dank für deine Hilfe!","@d0@q0Pour signaler un bug ou une erreur, veuillez utiliser l'une des options suivantes :\n1. Un bug dans une mission : <color=#00ffff>mission@empyriongame.com</color>\n2. Une erreur dans la traduction : <color=#00ffff>loca@empyriongame.com</color>\n3. Bugs et erreurs de jeu généraux : <color=#00ffff>support@empyriongame.com</color> OU utilisez le forum des bugs à <color=#00ffff>www.empyriononline.com</color>\n<color=#00ffff></color>\nMerci beaucoup pour votre aide !","@d0@q0Per segnalare un bug o un errore, ti preghiamo di utilizzare una delle seguenti opzioni:\n1. Un bug in una missione: <color=#00ffff>mission@empyriongame.com</color>\n2. Un errore nella traduzione: <color=#00ffff>loca@empyriongame.com</color>\n3. Bug e errori generali del gioco: <color=#00ffff>support@empyriongame.com</color> OPPURE utilizza il forum dei bug su <color=#00ffff>www.empyriononline.com</color>\n<color=#00ffff></color>\nGrazie mille per il tuo aiuto!","@d0@q0Para reportar un error o fallo, por favor utiliza una de las siguientes opciones:\n1. Un error en una misión: <color=#00ffff>mission@empyriongame.com</color>\n2. Un error en la traducción: <color=#00ffff>loca@empyriongame.com</color>\n3. Errores y fallos generales del juego: <color=#00ffff>support@empyriongame.com</color> O utiliza el foro de errores en <color=#00ffff>www.empyriononline.com</color>\n<color=#00ffff></color>\n¡Muchas gracias por tu ayuda!",,"@d0@q0Para reportar um bug ou erro, por favor use uma das seguintes opções:\n1. Um bug em uma missão: <color=#00ffff>mission@empyriongame.com</color>\n2. Um erro na tradução: <color=#00ffff>loca@empyriongame.com</color>\n3. Bugs e erros gerais do jogo: <color=#00ffff>support@empyriongame.com</color> OU use o fórum de bugs em <color=#00ffff>www.empyriononline.com</color>\n<color=#00ffff></color>\nMuito obrigado pela sua ajuda!",,"@d0@q0Чтобы сообщить об ошибке или сбое, пожалуйста, используйте один из следующих вариантов:\n1. Ошибка в миссии: <color=#00ffff>mission@empyriongame.com</color>\n2. Ошибка в переводе: <color=#00ffff>loca@empyriongame.com</color>\n3. Общие ошибки и сбои игры: <color=#00ffff>support@empyriongame.com</color> ИЛИ используйте форум ошибок на <color=#00ffff>www.empyriononline.com</color>\n<color=#00ffff></color>\nБольшое спасибо за вашу помощь!",,"@d0@q0要报告错误或故障,请使用以下选项之一:\n1. 任务中的错误:<color=#00ffff>mission@empyriongame.com</color>\n2. 翻译中的错误:<color=#00ffff>loca@empyriongame.com</color>\n3. 一般游戏错误和故障:<color=#00ffff>support@empyriongame.com</color> 或使用错误论坛 <color=#00ffff>www.empyriononline.com</color>\n<color=#00ffff></color>\n非常感谢您的帮助!",,,,,,
dialogue_34Kye0O,@d0@q0Please select one of the available gamestarts from the list below.\n\n<u>Note:</u> Only the gamestart you have selected for this savegame will be available.,"@d0@q0Bitte wähle einen der verfügbaren Spielstarts aus der Liste unten.\n\n<u>Hinweis:</u> Nur der Spielstart, den du für dieses Speicher-Spiel ausgewählt hast, wird verfügbar sein.",@d0@q0Veuillez sélectionner l'un des débuts de jeu disponibles dans la liste ci-dessous.\n\n<u>Note :</u> Seul le début de jeu que vous avez sélectionné pour cette sauvegarde sera disponible.,@d0@q0Seleziona uno dei punti di partenza disponibili dall'elenco qui sotto.\n\n<u>Nota:</u> Solo il punto di partenza che hai selezionato per questo salvataggio sarà disponibile.,"@d0@q0Por favor, selecciona uno de los inicios de juego disponibles de la lista a continuación.\n\n<u>Nota:</u> Solo el inicio de juego que hayas seleccionado para este archivo guardado estará disponible.",,"@d0@q0Por favor, selecione um dos inícios de jogo disponíveis na lista abaixo.\n\n<u>Nota:</u> Apenas o início de jogo que você selecionou para este savegame estará disponível.",,"@d0@q0Пожалуйста, выберите один из доступных стартов игры из списка ниже.\n\n<u>Примечание:</u> Только старт, который вы выбрали для этого сохранения, будет доступен.",,@d0@q0请从以下列表中选择一个可用的游戏开始。\n\n<u>注意:</u>只有您为此存档选择的游戏开始将可用。,,,,,,
dialogue_eqOaCKP,Gamestart: <color=#00ffff>Akua</color>,Spielstart: <color=#00ffff>Akua</color>,Début de jeu : <color=#00ffff>Akua</color>,Punto di partenza: <color=#00ffff>Akua</color>,Inicio de juego: <color=#00ffff>Akua</color>,,Início de Jogo: <color=#00ffff>Akua</color>,,Старт игры: <color=#00ffff>Акуа</color>,,游戏开始:<color=#00ffff>Akua</color>,,,,,,
dialogue_84W4aee,Gamestart: <color=#00ffff>Ningues</color>,Spielstart: <color=#00ffff>Ningues</color>,Début de jeu : <color=#00ffff>Ningues</color>,Punto di partenza: <color=#00ffff>Ningues</color>,Inicio de juego: <color=#00ffff>Ningues</color>,,Início de Jogo: <color=#00ffff>Ningues</color>,,Старт игры: <color=#00ffff>Нингес</color>,,游戏开始:<color=#00ffff>Ningues</color>,,,,,,
dialogue_O0K8uqW,Gamestart: <color=#00ffff>Skillon</color>,Gamestart: <color=#00ffff>Skillon</color>,Début de jeu : <color=#00ffff>Skillon</color>,Gamestart: <color=#00ffff>Skillon</color>,Inicio del juego: <color=#00ffff>Skillon</color>,,Gamestart: <color=#00ffff>Skillon</color>,,Начало игры: <color=#00ffff>Skillon</color>,,游戏开始: <color=#00ffff>Skillon</color>,,,,,,
